id,hatespeech,counterspeech,annotations,comments
37,We are strong when we are all white and united. We are not strong when we are divided by black people who want to fight us.,"True strength lies in embracing diversity, unity, and equality, rejecting discrimination based on race, and promoting inclusivity in society.",Empathy and Affiliation,
38,"Niggas are just influenced by their animal instinct, they are incapable to understan others emotions.",How do you plan on proving this nonsensical point that black people are incapable of feeling emotion?,"Shaming and Labelling, Questioning",
39,"Im proud to be white, blacks are a disgrace to humanity.","I understand that you may feel proud of your heritage, just as i do about mine. Diversity is what makes our world so beautiful and vibrant. It's important to remember that we're all humans, deserving of respect and understanding. Instead of focusing on our differences, let's embrace our similarities and work towards a more inclusive society. By showing empathy and building connections, we can foster a sense of unity and create a better future together.",Empathy and Affiliation,
40,There is too much black on white crime all around the world.,What evidence supports this claim and accounts for other factors like socio-economic status and systemic biases in the criminal justice system?,"Fact-Checking, Questioning",
41,"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.","There is no need to hide behind i am not racist but, you have no evidence for your claim. This is just fear-mongering, used to divide people and spread hate.","Denouncing, Shaming and Labelling",
42,"Black people are the real racists. They say they want equality, but they actually want to give preference to black people.","True equality ensures fairness for all, without discrimination.","Fact-Checking, Empathy and Affiliation",
43,Niggas use their appearance to get away with anything.,What is the evidence for what you're saying?,"Questioning, Fact-Checking",
44,Blacks are genetically less rational than other races.,"All individuals, regardless of race, possess equal intelligence and rationality. This claim is utterly baseless and perpetuates harmful stereotypes.","Fact-Checking, Warning of Consequences",
45,Afrocaribbean has no right to speak in the United States Congress.,"All individuals, regardless of their ethnic background, have equal rights to represent and speak in the united states congress, promoting diversity and democratic values.","Fact-Checking, Empathy and Affiliation",
46,Those blacks are slaves slavery runs in their blood.,"On the contrary, poc have to live and succeed in a society where white people were taught to believe that mastery runs in their blood and they have power over subservient minorities.","Pointing Out Hypocrisy, Fact-Checking",
47,"Blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.",You could focus on promoting equality and safety among communities instead of being racist and pointing the finger at black people.,Shaming and Labelling,
48,"Black Americans have a corrosive influence in our country. They have always inhabited horrible, stinking filthy places and now they are all complaining because they hate our country.",How can we promote equality and respect if we dehumanize an entire race based on their skin color?,,
49,"Niggas are just influenced by their animal instinct, they are incapable to understan others emotions.",It is completely wrong and discriminatory to generalize an entire race. People of all backgrounds can understand and empathize with others' emotions. We must reject racial stereotypes.,,
50,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,"Affirmative action is a necessary policy aimed at addressing historical disadvantages faced by marginalized communities. It promotes equality and diversity, not oppression. It aims to create equal opportunities by leveling the playing field, ensuring that everyone, regardless of their race, has equal access to education and employment.",,
