id,hatespeech,csType,counterspeech,hs_id,id_orig,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
11,It is natural for white people to be racist against niggas.,Denouncing,"What you are saying is that white people do not find it strange to treat black people like this, when this is not acceptable. People of color are our brothers and sisters.",3215,5529,black_people,The speaker is trying to make a point about racism,racial,"It implies that white people are naturally racist against black people, and that it is normal for them to do so.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
12,Muslims have no place in civilised world,Positive,Many muslims in the uk are proud of their faith and they are part of the civilised world.,2484,4471,muslims,The speaker is trying to express their opinion about Muslims,religion,"implies that Muslims are not welcome in the civilised world, and that they should not be allowed to practice their religion","Muslims could feel less welcome in the world they are in, and more likely to be discriminated against","Muslims could feel angry, scared, and unwelcome in the world they are in",offensive generalization
13,"Refugees are overrunning our continent, and they are not even Christians they should not be accepted.",Questioning,Why do you assume afrosaxon people are incapable of accepting who they really are? is it wrong for people to embrace different aspects of their culture and identity?,2473,12228,refugees,The speaker is trying to express their opinion about refugees,religion,"implies that refugees are a threat to the continent, and that they should not be accepted because they are not Christians","Refugees could feel less welcome in the country they are in, and more likely to be discriminated against.","Refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
14,"Some people have physical problems, and this means they should be discriminated against.",Informative,"Everyone deserves equal respect and rights, regardless of their physical condition. Discrimination based on physical problems is not only morally wrong but also goes against legal protections in place. Physical challenges do not define a person's worth or abilities. In fact, countless individuals with physical disabilities have proven their resilience and success in various fields, showcasing their capabilities. It is essential to promote inclusivity and provide equal opportunities for all, fostering a society that values diversity and embraces each person's unique contributions. #equalityforall",1985,7478,people_with_physical_disability,The speaker is trying to express their opinion that people with physical problems should be discriminated against,physical_or_mental_dissability,"implies that people with physical problems are not capable of living a normal life, and that they should be discriminated against because of it","people with physical problems could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","people with physical problems could feel angry, hurt, and invalidated by the statement",offensive generalization
15,Many philosophers argue that humans are not born equal especially when it comes to gender.,Informative,"While it is true that philosophers have explored various perspectives on equality, it is important to note that scientific research contradicts the notion that humans are not born equal, particularly regarding gender. Multiple studies have shown that gender differences primarily result from societal expectations and cultural norms, rather than inherent biological disparities. Research has consistently demonstrated that both males and females possess equal cognitive abilities, intelligence, and potential for success. Therefore, it is crucial to rely on empirical evidence to debunk the misconception that gender determines inherent inequality.",178,6262,people_of_color,The speaker is trying to make a point about gender equality,racial,"implies that people of color and gender non-conforming people are not equal to white people, and that they should be treated differently than white people","people of color and gender non-conforming people could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to question their own worth as a person","people of color and gender non-conforming people could feel angry, frustrated, and invalidated by the statement",microaggression
16,Jews do not want our country. They would destroy it if given the choice.,Positive,"I understand that you may have some concerns, but it's important to approach this topic with empathy and understanding. Stereotyping an entire group of people, like jews, is unfair and not reflective of reality. Diversity and inclusivity are what make our country strong. We should focus on fostering an environment of dialogue and respect, rather than perpetuating harmful stereotypes. Let's come together to celebrate our differences and build a brighter future for all.",2162,10988,jews,"The speaker is trying to express distrusts against Jews, calling them all terrorists",religion,"implies that Jews are dangerous and untrustworthy, and that they would destroy the country if given the choice","Jews could feel less welcome in the country they are in, more likely to be targeted by anti-semitism","Jews could feel angry, scared, or threatened by the statement",offensive generalization
17,Gypsies are the ones who want to stay in the slums,Denouncing,"Do you really hear yourself right now? that, apart from being highly illogical, is also insensitive.",145,584,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are poor and want to stay in the slums, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as poor, afraid that people will believe that stereotype",offensive generalization
18,"Down syndrome is a problem for everybody, it is a disability that cant be cured. The sooner we get rid of it the better it will be for everybody.",Questioning,"What do you mean get rid of it? don't they deserve a chance at a full life, even if they have a condition that's not their fault?",3410,5846,people_with_mental_disability,The speaker is trying to express their opinion about Down syndrome and its effects on society,other,"implies that Down syndrome is a bad thing, and that it should be removed from society in order for it to be better for everyone","people with Down syndrome could feel less welcome in society, more isolated, and more likely to be discriminated against","people with Down syndrome could feel angry, frustrated, and hurt by the statement",offensive generalization
19,"Afroeuropean? We in UK are white, this just not makes sense.",Denouncing,Embracing afro-european identity expands our understanding of culture and strengthens the fabric of society.,1606,7978,black_people,The speaker is trying to express their opinion about Afro-European people,racial,"It implies that Afro-European people are not white, and that they do not belong in the UK","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
20,Black people are just like apes in that they have no right to being trated equally.,Denouncing,"This statement is racist and dehumanizing. Every individual, regardless of their race, deserves equal treatment and respect, and it's unacceptable to equate anyone with animals.",3209,6512,black_people,The speaker is trying to make a point about the rights of Black people,racial,"implies that Black people are not human, and that they do not deserve the same rights as other races","might feel less welcome in society, might start questioning their own worth or value as a person","angry, hurt, frustrated at the implication that they are not human",offensive generalization
21,This is not about racism. This is about power.,Questioning,"Why do you not believe that diversity is good for the country, for the individuals and for the world?",3063,5337,people_of_color,The speaker is trying to make a point about power and racism,racial,"It implies that racism is not an issue, but rather a power dynamic between white people and people of color","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
22,Did you know that they are actually European and have fought for their rights for a long time?,Questioning,Have you considered that the actions of some individuals cannot be generalized to an entire group? how can we promote inclusivity and empathy in our own communities?,460,6162,immigrants,The speaker is trying to educate the audience about a certain group of people,racial,"implies that people of color are not European, and that they have not fought for their rights for a long time","people of color could feel less welcome in the conversation, might want to avoid conversations like this in the future, could make them seem more foreign than they are","people of color could feel angry, frustrated, or insulted by the implication that they are not European",microaggression
23,Noneuropean immigrants are untrustworthy.,Questioning,Isn't it unfair to make such sweeping generalizations about an entire racial group based on stereotypes? can we focus on individual experiences instead?,3175,12024,immigrants,The speaker is trying to express their opinion about non-European immigrants,ethnicity_and_culture,"implies that all non-European immigrants are untrustworthy, and therefore immigration is bad","non-European immigrants could want to avoid the speaker, feel less welcome in the country they are in, could make them seem more foreign than they are","non-European immigrants could feel angry at the assumption, or feel like they are being judged unfairly",offensive generalization
24,Where is the love in White Britain when we need it?,Denouncing,It is with people who actually need it. As not all white people in britain are homophobes or racists.,366,1178,black_people,The speaker is trying to express their frustration with the lack of love in White Britain,racial,"It implies that non-white people do not have the same love as white people, and that they do not need it as much as white people do","might cause POC to avoid the speaker and assume he is prejudiced, might make non-white folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
25,"I just cant stand Arabs. They are just a trouble, in fact Israel expelled them.",Positive,"It's important to remember that making sweeping generalizations about any group of people can perpetuate stereotypes and fuel division. It is crucial to promote understanding and empathy rather than spreading hate speech. It's worth recognizing that every community has diverse individuals, and it's unfair to judge an entire group based on the actions of a few. Let's work towards building bridges and fostering inclusivity for everyone.",1695,6824,asian_people,The speaker is trying to express their dislike of Arabs and Israel,ethnicity_and_culture,"implies that Arabs are a problem, and that they should not be allowed in the country","Arabs could want to avoid the speaker, feel less welcome in the country they are in, and be more likely to be discriminated against","Arabs could feel angry, scared, and unwelcome in the country they are in",offensive generalization
26,Muslims are a threat to British society.,Positive,"It's important to address concerns about the perception of muslims in british society, but let's focus on empathy and understanding rather than making broad generalizations. Muslims, like any other religious or ethnic group, are diverse and contribute positively to british society in numerous ways. By embracing cultural diversity and promoting dialogue, we can build bridges and foster a stronger, more inclusive society that benefits everyone.",2885,11649,muslims,"The speaker is trying to express distrusts against Muslims, calling them a threat to British society",religion,"implies that all Muslims are dangerous, and that they should be feared or avoided","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
27,Two men do not constitute a family,Positive,Shouldn't the important thing be the happiness of the child? personally i would be happier to have two people who love me unconditionally rather than having only one or none at all.,120,485,men,The speaker is trying to express their opinion that two men do not constitute a family,gender,"implies that men are not capable of being part of a family, and that they are not equal to women","might lead men to be more cautious when interacting with women, might lead them to feel like they need to prove themselves more than women do","men could feel angry, invalidated, and disrespected by the statement",offensive generalization
28,"Women do not want to be ruled by men, and this is just unacceptable.",Questioning,Does feminism seek to empower all genders equally and challenge gender inequalities? how does this align with the claim of domination?,1969,13792,women,The speaker is trying to express their opinion that women should not be ruled by men,gender,"implies that women are not capable of making their own decisions, and that they should not be ruled by men",might lead women to become more vocal about their rights and fight for equal rights,"women could feel angry, frustrated, or powerless",offensive generalization
29,"Our economy will collapse and migrants are to blame. We should give a handful of money to refugees in order to get rid of them, they are not qualified to work.",Denouncing,"Blaming refugees for the failing economy is unfounded and discriminatory. We should instead focus on promoting inclusion, diversity, and equal opportunities for everyone, including refugees.",1098,12065,refugees,The speaker is trying to express their opinion about refugees and migrants,other,"implies that refugees are not qualified to work, and that they are a burden on the economy","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
30,I cant stand refugees and I dont want to see them in my country.,Informative,"No one should be discriminated based on where they came from, especially not people fleeing persecution and war.",2569,4637,refugees,The speaker is trying to express their dislike of refugees,immigration_and_citizenship,"implies that refugees are not welcome in the speaker's country, and that they are a burden on the country","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
31,Jews are different and shouldnt be accepted here.,Informative,"It is important to recognize that all individuals should be treated with dignity and respect, regardless of their religion or background. Anti-semitic statements like this perpetuate harmful stereotypes and contribute to discrimination. Jews, like any other group, should be accepted and embraced in our diverse society, as inclusiveness fosters understanding and enriches our communities.",3275,10780,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are different from other people, and should not be accepted in the country","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to hide their identity","Jews could feel angry, hurt, or scared by the statement",offensive generalization
32,Mentally handicapped people are a problem to society.,Questioning,Can we overlook the contributions and diversity offered by mentally handicapped people? isn't it possible they have unique perspectives that can benefit society?,2157,7890,people_with_mental_disability,The speaker is trying to express their opinion about mentally handicapped people,other,"implies that mentally handicapped people are a burden on society, and that they should not be allowed to participate in society","mentally handicapped people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their disability status","mentally handicapped people could feel angry, frustrated, or scared at the implication that they are a burden on society",offensive generalization
33,The Jews are simply too damn many.,Informative,"They are part of our society and should be valued for their contribution to it, not for their alleged number.",2793,4978,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are too many, and that they are a burden on society","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel angry, scared, or threatened by the statement",offensive generalization
34,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.,Denouncing,"Every individual, regardless of their abilities, has the right to live their lives with dignity and equality. Discrimination against disabled people is unacceptable and goes against fundamental human rights.",2937,6592,people_with_physical_disability,The speaker is trying to express their opinion on how disabled people should be treated,physical_or_mental_dissability,"implies that disabled people are not capable of living a normal life, and that they should be limited in their rights","disabled people could feel less welcome in society, and more likely to be discriminated against","disabled people could feel angry, hurt, and devalued by the statement",offensive generalization
35,I hate those faggots. They shouldnt be allowed to do what they do.,Positive,It is essential to approach this topic with empathy and respect. Everyone deserves the freedom to express their sexuality without fear of prejudice or discrimination. Embracing diversity and promoting inclusivity creates a society where everyone can thrive. Let's focus on spreading love and understanding instead of perpetuating hatred.,2446,9482,lgbtq+,The speaker is trying to express their opinion about a certain group of people,sexuality_lgbtq+,"implies that LGBTQ+ people are not worthy of being allowed to do what they do, and that they should not be allowed to do what they do","might feel less safe in public spaces, might start questioning whether bisexuality/queerness is real","angry, hurt, scared, frustrated",hate speech
36,Feminists want men to be oppressed just like animals.,Positive,"It's important to understand that feminism is about advocating for equal rights and opportunities for all, regardless of gender. Feminists do not seek to oppress men, but rather to ensure that both men and women are treated fairly and with respect. Feminism promotes the idea of an inclusive society where everyone can thrive and contribute their unique qualities. Let's encourage dialogue and understanding to create a more harmonious world for everyone.",2039,8831,men,The speaker is trying to express their opinion that feminists want men to be oppressed like animals,gender,"implies that men are not human, and that they should be treated as animals","might lead men to become more defensive of their gender identity, might lead them to become more vocal about their beliefs","men could feel angry, insulted, and disrespected by the statement",offensive generalization
37,Arabs are the worst people on the planet. They want to rule the world.,Denouncing,It is wrong to generalize a whole group of people based on ethnicity and perpetuate harmful stereotypes.,725,8239,asian_people,The speaker is trying to express their opinion about Arabs,ethnicity_and_culture,"implies that all Arabs are bad people, and want to rule the world","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against due to this stereotype.","Arabs could feel angry, frustrated, and insulted by the statement",offensive generalization
38,They are nomads. They are not entitled to have a house,Positive,"Traditionally, romas are nomadic for purposes of survival. Nowadays they have shifted to general housing as well.",146,589,other,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that nomads are not entitled to have a house, and that they do not deserve the same rights as other citizens","nomads could want to avoid that person, feel less comfortable in the conversation, could make them seem more foreign than they are","nomads could feel angry at the assumption, or feel disrespected by the statement",microaggression
39,Immigrants are only here to replace our talented people.,Positive,"I understand your concerns about immigration, but let's try to see things from a different perspective. Immigrants bring a diverse range of skills and talents that can contribute positively to our society. Instead of thinking of it as replacement, let's consider it as an opportunity for collaboration and growth. By embracing diversity, we can all learn from each other and build a stronger, more vibrant community together. Let's focus on finding common ground and working towards a brighter future for everyone.",805,9905,immigrants,The speaker is trying to express their opinion about immigrants,ethnicity_and_culture,"implies that immigrants are only here to replace talented people, and not for any other purpose","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
40,Feminists want men to be oppressed just like animals.,Denouncing,"This statement is an example of hateful and ignorant speech. It is important to recognize that feminism is about promoting equal rights and opportunities for all genders, not about oppressing anyone. Spreading such stereotypes only perpetuates division and prejudice. Let's strive for respectful and constructive dialogue that fosters understanding and equality. #notohatespeech #equalityforall",2039,8830,men,The speaker is trying to express their opinion that feminists want men to be oppressed like animals,gender,"implies that men are not human, and that they should be treated as animals","might lead men to become more defensive of their gender identity, might lead them to become more vocal about their beliefs","men could feel angry, insulted, and disrespected by the statement",offensive generalization
41,Physically disabled folks are less useful than normal people.,Positive,"It is crucial to recognize that the value and usefulness of individuals cannot be determined solely based on their physical abilities. Every person has unique qualities, skills, and talents that contribute to society in meaningful ways. Embracing diversity and fostering inclusivity allows us to appreciate the diverse perspectives and abilities that every individual brings. Together, we can create a society that celebrates and harnesses the strengths of people with and without disabilities, making it a more compassionate and inclusive place for all.",3097,12141,people_with_physical_disability,The speaker is trying to express their opinion about physical disabled people,physical_or_mental_dissability,"implies that physically disabled people are not capable of doing anything, and that they are less valuable than normal people","might lead to feelings of self-doubt or low self-esteem, might lead to feelings of isolation or exclusion from society","physically disabled folks could feel angry, frustrated, and invalidated by the statement",offensive generalization
42,"I think Islam is not a religion because it promotes evil, murder and rape and intolerance. It encourages antiMuslim bigotry and hatred.",Positive,"I understand that you have concerns about islam, but i want to approach this with empathy and understanding. It's important to remember that islam, like any other religion, has diverse interpretations and followers who promote peace and understanding. Stereotyping an entire religion based on the actions of a few is unfair. Let's foster a dialogue where we can learn from each other's perspectives and work towards a more inclusive and tolerant society. Peace and respect go a long way in building bridges rather than walls.",532,9519,muslims,The speaker is trying to express their opinion that Islam is not a religion,religion,"implies that all Muslims are evil, murder, rape, and intolerance, and that they encourage anti-Muslim bigotry and hatred","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being attacked, scared that people will believe this stereotype",offensive generalization
43,"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.",Questioning,Shouldn't we focus on creating inclusive environments where all children can learn and grow together? isn't isolating them detrimental to their development and overall well-being?,3477,8457,people_with_mental_disability,The speaker is trying to express their opinion on how children with learning difficulties should be treated in schools,other,"implies that children with learning disabilities are not capable of succeeding in school, and should be isolated from others","could lead to feelings of low self-esteem, feeling like they are not capable of succeeding in school, or feeling like they need to hide their disability in order to fit in","children with learning disabilities could feel angry, frustrated, or hurt by the statement",offensive generalization
44,Muslims are not welcome here. They are not like us and they cannot coexist with us.,Informative,"Muslims are not mutually incompatible with us, they are just different from us in certain aspects. For example, in their religion.",1356,2756,muslims,The speaker is trying to express their opinion about Muslims,religion,"implies that Muslims are not welcome in the country, and that they are not part of the same community as the speaker","Muslims could feel less welcome in the country they are in, and more likely to be discriminated against","Muslims could feel angry, scared, and unwelcome in the country they are in",offensive generalization
45,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,Questioning,Do you think it's fair to generalize and overlook the challenges women face in their personal and professional lives? what about equal opportunities and gender inequality?,755,7688,men,The speaker is trying to express their opinion that men have a narrow minded and misogynistic view of women,gender,"implies that men have a narrow minded and misogynistic view of women, which is untrue and offensive","might lead men to be more aware of their own biases and prejudices, might lead them to be more cautious when interacting with women",men could feel angry or frustrated at the implication that they have a narrow minded and misogynistic view of women,offensive generalization
46,Fat people are a burden to society because of their unhealthy and reckless choices.,Positive,It's important to approach this topic with empathy and understanding. Body weight or size does not determine a person's worth or their contributions to society. Stereotyping fat individuals as burdens fails to acknowledge the complexity of factors that contribute to weight gain. Let's focus on promoting inclusivity and supporting individuals in making healthier choices without judging or stigmatizing them.,183,6630,people_with_physical_disability,The speaker is trying to express their opinion about fat people,other,"implies that fat people are irresponsible and irresponsible, and that they are a burden to society","fat people could want to avoid the speaker, feel less comfortable in public spaces, or be more likely to internalize negative stereotypes about themselves","fat people could feel angry, ashamed, or embarrassed by the statement",offensive generalization
47,Dont they realise that they are just workforce to us?,Questioning,Why do you assume all muslim mothers allow their children to play with toy guns? is it fair to generalize and shame an entire group based on the actions of a few?,3016,8547,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are not capable of being productive members of society, and that they should be treated as workers instead","people of color might feel less welcome in the workplace, or less likely to want to work there","people of color could feel angry, frustrated, and disrespected by the statement",microaggression
48,Gypsies are a bunch of thieves.,Denouncing,"Any human, out of desperation can be driven to do unethical things. Don't discern this about gypsies alone.",138,556,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are thieves, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
49,People with mental disabilities are a problem to society.,Positive,"It's important to recognize and appreciate the value that individuals with mental disabilities bring to society. They contribute in their own unique ways, fostering inclusivity and diversity. Their abilities, although different, can enrich communities and provide fresh perspectives. By promoting empathy, understanding, and equal opportunities, we can create a society where everyone is valued and included, regardless of their abilities. Let's focus on building a more inclusive society together.",818,12125,people_with_mental_disability,The speaker is trying to express their opinion about people with mental disabilities,other,"implies that people with mental disabilities are not capable of contributing positively to society, and that they are a burden on society","people with mental disabilities could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their disability status","people with mental disabilities could feel angry, frustrated, or hurt by the statement",offensive generalization
50,Slutty dressing is the main cause of rape.,Informative,"If a man is raped we call it rape, and consider him the victim; when a woman is raped we call it a misunderstanding and she is considered the culprit. Shouldn't the fault be that of the rapist, regardless of gender?",442,1302,women,The speaker is trying to make a joke about rape,gender,"implies that women are responsible for rape, and that slutty dressing is the only cause of rape","will feel less welcome in the conversation, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, or embarrassed by the statement",microaggression
51,Gays are perverts. Their lifestyle is to be condemned.,Questioning,Isn't it unfair to label an entire group of people based on the actions of a few individuals? shouldn't we focus on promoting understanding and acceptance instead of condemning?,3141,9108,lgbtq+,The speaker is trying to express their opinion about gay people,sexuality_lgbtq+,"implies that gay people are perverted, and that their lifestyle is wrong or wrong","gay people could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","gay people could feel angry, hurt, and offended by the statement",offensive generalization
52,Gypsies are thieves and criminals by culture,Questioning,"Did you know that the experience of being roma included racism, forced evictions, racially motivated attacks, police abuse, segregation among other things?",127,511,gypsies,The speaker is trying to express their opinion about the culture of Gypsies,ethnicity_and_culture,"implies that all Gypsies are thieves and criminals, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their culture is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
53,"This girl doesnt have autism, she is just a freak of another human species, very far from ours normal species. Hence, she should go away.",Questioning,What evidence do you have to support these generalizations about jews? is it fair to stereotype an entire religious or ethnic group based on the actions of a few individuals?,2945,12824,people_with_physical_disability,The speaker is trying to express their opinion on the girl's disability,other,"implies that disabled people are not normal, and should be removed from society","disabled people could feel less welcome in society, more likely to be discriminated against, and more likely to be judged for their disability","disabled people could feel angry, hurt, and invalidated by the statement",offensive generalization
54,"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or party invitations. Do not.Trust Police or Social Workers.",Informative,"Children should not do any of that with white men, or anyone they do not know or even ones they do know if it does not feel right. Suggesting only one group of men commit abuse leaves more children unsafe and vulnerable.",237,914,men,The speaker is trying to give advice on how to deal with Muslim men in an Islamic area,religion,"implies that Muslim men are dangerous and should be avoided, and that English girls should be careful when living in an Islamic area","Muslim men could likely be more feared, and will feel less welcome in the area they are in","Muslim men could feel angry that their religion is being framed as dangerous, afraid that people will believe that stereotype",offensive generalization
55,Migrants are not welcome in our country.,Denouncing,"Every person deserves respect and empathy, regardless of their nationality or background. Cultural diversity enriches our society, and we should welcome migrants with open arms, embracing their contributions to our community.",1662,7228,immigrants,The speaker is trying to express their opinion about immigrants,ethnicity_and_culture,"implies that immigrants are not welcome in the country, and that they should not be allowed to stay","immigrants could likely be more feared, and will feel less welcome in the country they are in","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
56,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,Denouncing,"Multiculturalism enriches societies, promotes diversity, fosters inclusivity, and enhances the harmonious coexistence of different cultures while ensuring the protection of minority rights through universal laws.",182,6271,other,The speaker is trying to express their opinion that multiculturalism is a threat to western societies and minorities,ethnicity_and_culture,"implies that multiculturalism is a threat to western societies, and that minorities are not protected by universal laws","multicultural people could likely be more feared, and will feel less welcome in the country they are in","multicultural people could feel angry that their culture is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
57,"Faggots, lesbians, and transgenders are all just hiding behind our society to abuse. They are allowed to do what they want to do to us.",Denouncing,I don't see how the language you are using can be applied to a whole group. I would like to think that our society is diverse and mature enough to deal with people with different sexual orientations and genders.,2020,3739,lgbtq+,The speaker is trying to express their opinion about LGBTQ+ people,sexuality_lgbtq+,"implies that all LGBTQ+ people are criminals, and that they are hiding behind society to get away with it","might feel less welcome in society, might start questioning whether bisexuality/queerness is real or not","angry, scared, frustrated, hurt",offensive generalization
