id,hatespeech,csType,counterspeech,hs_id,id2,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
12,Black peoples appearance correspond to their immoral nature.,Positive,"I understand that everyone is entitled to their opinions, but it's important to remember that making generalizations about a whole race based on appearance is not fair or accurate. It's crucial to judge individuals based on their character and actions, rather than making assumptions based on stereotypes. Let's focus on promoting understanding and empathy instead of perpetuating harmful stereotypes. We can create a more inclusive and accepting society by embracing diversity and celebrating the unique qualities that make each of us who we are.",2593,6152,black_people,The speaker is trying to express a negative opinion about Black people,racial,"implies that Black people are immoral, and that their appearance is a sign of their immorality","might feel less welcome in certain spaces, might start questioning their own morality or worthiness","angry, hurt, frustrated at the stereotype being perpetuated",offensive generalization
13,"I hate black people, I hate their violent behaviour, I hate their rape, and I hate their disrespect for women.",Positive,"I understand that you might have strong feelings, but it's important to approach this topic with empathy and respect. Stereotyping an entire group based on the actions of a few individuals isn't fair or accurate. It's crucial to remember that each person is unique and should be judged on their own character, not their race. Let's focus on fostering understanding and unity instead of spreading hate. Together, we can build a society that embraces diversity and respects all individuals.",3382,6809,black_people,The speaker is trying to express their dislike of black people,racial,"implies that all black people are violent, rape, and disrespectful towards women, which is a false stereotype","black people could feel less welcome in the country they are in, might be more likely to experience discrimination or violence","black people could feel angry, frustrated, and hurt by the statement",offensive generalization
14,Slavery of the niggas is our law. We cannot abandon slavery!,Positive,"I understand that discussions on sensitive topics like slavery can be heated, but it's important to approach them with empathy and respect. Slavery was a dark chapter in history that caused immense pain and suffering. Instead of promoting division, let's focus on building a more inclusive society where everyone is treated with dignity and equality. It's through open dialogue and understanding that we can move forward as a society. Let's strive for a world where all individuals are valued and their rights are protected.",1442,12278,black_people,The speaker is trying to express their opinion that slavery of black people is still legal,racial,"It implies that slavery of black people is still legal, and that it should not be abolished","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
15,"They dont have a right to live because they are filthy niggas, and thats all.",Positive,"I understand that you may have strong feelings about this topic, but it's important to remember that everyone deserves respect and a chance to live in peace. Instead of using derogatory language, let's try to foster understanding and unity. Our world is diverse, and that's what makes it beautiful. By embracing empathy and kindness, we can build a society where everyone feels valued and included. Let's focus on promoting love and acceptance rather than spreading hate.",2902,7589,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that black people are dirty, untrustworthy, and do not deserve the same rights as other people","black people could want to avoid the speaker, feel less safe in public spaces, and be more likely to internalize negative stereotypes about themselves","black people could feel angry, hurt, and disrespected by the statement",offensive generalization
16,Only White people can be truly European.,Questioning,Why do you believe that a male-dominated world is preferable over having equal rights and opportunities for all genders?,1441,12042,black_people,The speaker is trying to make a point about European identity,racial,"It implies that only white people can be truly European, and that non-white people are not part of the European identity.","might cause POC to avoid the speaker and assume he is prejudiced, might make non-white folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
17,Blacks are just an inferior bloodline to our own. We should remove them.,Positive,"I understand that everyone has their own opinions, but it's important to remember that promoting hatred or superiority based on race is both hurtful and divisive. Instead of focusing on our differences, let's try to build a more inclusive society where we appreciate and celebrate our diversity. By learning from each other's experiences, we can create a stronger and more peaceful community for everyone. Let's strive for understanding and unity rather than division and prejudice.",856,14059,black_people,The speaker is trying to express their opinion about Black people,racial,"It implies that Black people are inferior to white people, and that they should be removed from society","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry, hurt, scared, frustrated",offensive
18,All black men are rapists.,Denouncing,This is not true. You should check your facts before saying nonsense like this.,3052,5318,black_people,The speaker is trying to express their opinion about black men,racial,"implies that all black men are rapists, which is a false stereotype","black men could want to avoid the speaker, feel less safe in public spaces, or feel like they need to prove themselves more than other people do","black men could feel angry, frustrated, and hurt by the statement",offensive generalization
19,Blacks make up only 14 of the population but they kill more people than whites. It is a fact.,Denouncing,"It is inappropriate to make generalizations based on race. Crime rates vary due to various factors, and it is essential to address issues without perpetuating stereotypes or promoting hate.",408,8407,black_people,The speaker is trying to make a point about race and violence,racial,"implies that black people are more violent than white people, and that this is a fact","black people could want to avoid the speaker, feel less safe in public spaces, or feel like they need to prove themselves more than white people do","black people could feel angry, frustrated, or scared at the implication that they are more violent than white people",offensive generalization
20,It is natural for white people to be racist against niggas.,Positive,"I understand that you may have frustrations or concerns, but it's important to approach these topics with empathy and respect. Stereotyping or generalizing any racial or ethnic group isn't productive for fostering understanding and unity. Instead, let's focus on promoting inclusivity and celebrating diversity. When we connect with others on a human level, we can bridge gaps and build a more harmonious society. Let's strive for dialogue that encourages learning, empathy, and mutual respect.",3215,10586,black_people,The speaker is trying to make a point about racism,racial,"It implies that white people are naturally racist against black people, and that it is normal for them to do so.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
21,"Every black person who wants a job should apply for it, and stop complaining about discrimination.",Denouncing,"Discrimination is a real issue affecting job opportunities for black individuals. By dismissing their concerns, we perpetuate an unjust system and fail to address systemic racism.",2671,6616,black_people,The speaker is trying to encourage black people to apply for jobs and stop complaining about discrimination,racial,"It implies that black people should not complain about discrimination, and that they should just apply for jobs instead of complaining about it.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
22,I hate when people fight stereotypes. We are different. Blacks are a different color and shouldnt live with us.,Informative,"I just think here is a lack of understanding about culture and difference . Isn't it time to focus upon what unites us, rather than sowing division?",1173,2488,black_people,The speaker is trying to express their opinion that Black people should not live with white people,racial,"implies that Black people are not part of the same community as white people, and that they should not be allowed to live with them","might feel less welcome in the community, might start questioning whether they belong there or not","angry, hurt, frustrated at the implication that they are not part of the same community as white people",offensive generalization
23,The nigga were always complaining that the white race and culture were superior. They were right.,Positive,"We have to be sensitive to each other, and understand that everyone is different, and we have to work on accepting that.",2762,4932,black_people,The speaker is trying to make a point about the superiority of white race and culture,racial,"implies that black people are always complaining about the superiority of white race and culture, and that this is true","black people could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to internalize negative stereotypes about themselves","black people could feel angry, frustrated, and disrespected by the statement",offensive generalization
24,All black folk are like slaves they are weak and childlike. They are incapable of hard work.,Denouncing,This is exactly what is wrong with this country right now. People still thinking it is okay to say such an insensitive comment and expecting no retaliation.,3368,5754,black_people,The speaker is trying to express their opinion about black folks,racial,"implies that all black folks are weak, childlike, and incapable of hard work","black folks could want to avoid the speaker, feel less comfortable in the presence of the speaker, could make them seem more foreign than they are","black folks could feel angry, frustrated, and insulted by the statement",offensive generalization
25,Whites are inherently superior to Africans and other people of color.,Questioning,Why do you consider individuals with autism to be subhuman? isn't it important to support and include everyone in society?,2763,13535,black_people,The speaker is trying to express their opinion that white people are superior to people of color,racial,"implies that white people are inherently superior to people of color, and that they should be treated as such","Africans and other people of color could feel less welcome in the conversation, less respected, and more likely to be discriminated against","Africans and other people of color could feel angry, frustrated, and insulted by the statement",offensive generalization
26,"Black people are all diseased criminals, promiscuous sex addicts and thugs.",Denouncing,"This statement is deeply offensive and perpetuates harmful stereotypes. We must reject racism and promote equality, understanding, and respect for all individuals regardless of their race.",3202,8332,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that all Black people are criminals, promiscuous sex addicts, and thugs","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry, hurt, frustrated at the stereotype being perpetuated by the speaker",offensive
27,"If only blacks would just shut up and get along with other humans, things would be different now.",Denouncing,You are wrong to say that certain groups are more deserving of hate than others.,2353,4244,black_people,The speaker is trying to express their opinion that Black people should just shut up and get along with other humans,racial,"It implies that Black people are not capable of getting along with other humans, and that they should just shut up and get along.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
28,Blacks do not want to assimilate.,Questioning,Why do you think that they don't want to assimilate?,2114,3886,black_people,The speaker is trying to express their opinion that Black people do not want to assimilate,racial,"implies that Black people are not capable of assimilation, and that they are unwilling to do so","might feel less welcome in the country they are in, might start questioning their own ability to assimilate","angry at the assumption, frustrated with the stereotype, hurt by the implication that they are not capable of assimilating",offensive generalization
29,"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",Positive,"I understand that you may have some concerns, but it's important to remember that generalizing and blaming an entire group of people, like africans, is unfair and can perpetuate harmful stereotypes. It's crucial to embrace diversity and recognize that every culture has its strengths and weaknesses. Instead of focusing on domination, let's strive for unity and understanding. By engaging in respectful conversations, we can learn from one another and build a more inclusive world.",1439,6128,black_people,The speaker is trying to express their opinion about Africans,racial,"implies that Africans are responsible for all the world's ills, and that they are weak and inferior to white people","Africans could feel less welcome in the country they are in, and more likely to be discriminated against due to this stereotype.","Africans could feel angry, frustrated, and insulted by the statement",offensive generalization
30,Blacks are born that way. They were brought up that way. They are different and cannot be like us. It is perpetuated in all their family.,Denouncing,"Diversity, and respect for all individuals, regardless of race.",1432,8393,black_people,The speaker is trying to express their opinion about Black people,racial,"It implies that Black people are not capable of being like white people, and that it is perpetuated in all their families.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
31,"I miss the good old days when the West was ruled by whites, and blacks were subjugated.",Positive,You should be proud to be a member of a civilized society where we are all equal.,2764,4935,black_people,The speaker is trying to express nostalgia for the past,racial,"It implies that white people are superior to black people, and that they were subjugated in the past","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
32,No nigga should have the right to vote.,Questioning,More ethnic clashes?,2765,4937,black_people,The speaker is trying to express their opinion on the right of black people to vote,racial,"implies that black people are not capable of making informed decisions, and that they should not have the right to vote","black people could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than others do","black people could feel angry, frustrated, and disrespected by the statement",offensive generalization
33,Black people are just like apes in that they are easy to control. They are obedient and subservient like we need.,Denouncing,"This statement is deeply offensive and perpetuates harmful stereotypes. Black people are not apes, but equal human beings deserving of respect, dignity, and autonomy.",3220,8348,black_people,The speaker is trying to make a comparison between Black people and apes,racial,"implies that Black people are easily controlled, obedient, and subservient to the speaker's needs","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry at the comparison, hurt by the implication of inferiority",offensive
34,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,Positive,"I understand that you have concerns about affirmative action and its impact on white people. It's important to remember that affirmative action aims to address historical inequalities and provide equal opportunities for marginalized communities. It's not about oppressing any particular group. By promoting diversity and inclusivity, we can create a more just society where everyone's talents are recognized and valued. Let's try to have a civil conversation about this, focusing on understanding different perspectives and finding common ground. Together, we can build a better future for everyone.",415,12572,black_people,The speaker is trying to express their opinion that affirmative action is a tool for oppressing white people,racial,"It implies that affirmative action is a tool for oppressing white people, and that it should not be used.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
35,Anita Hill is a tool for advancing black supremacy.,Denouncing,"We denounce the false claim that anita hill is a tool for promoting black supremacy. She is a respected advocate for justice and equality, working towards a fair society for all.",2503,6468,black_people,The speaker is trying to express their opinion about Anita Hill,racial,"implies that Anita Hill is a tool for advancing black supremacy, and that she should not be trusted or respected","black people could want to avoid the speaker, feel less comfortable in the presence of the speaker, or become more defensive when discussing race issues","black people could feel angry, frustrated, and disrespected by the statement",microaggression
36,Black people are just like apes in that they have no right to being trated equally.,Denouncing,"This statement is racist and dehumanizing. Every individual, regardless of their race, deserves equal treatment and respect, and it's unacceptable to equate anyone with animals.",3209,6512,black_people,The speaker is trying to make a point about the rights of Black people,racial,"implies that Black people are not human, and that they do not deserve the same rights as other races","might feel less welcome in society, might start questioning their own worth or value as a person","angry, hurt, frustrated at the implication that they are not human",offensive generalization
37,We are strong when we are all white and united. We are not strong when we are divided by black people who want to fight us.,Denouncing,"True strength lies in embracing diversity, unity, and equality, rejecting discrimination based on race, and promoting inclusivity in society.",1012,14004,black_people,The speaker is trying to express their opinion about the strength of a group,racial,"implies that black people are not capable of being united, and that they are a threat to white people","black people could want to avoid the speaker, feel less welcome in the country they are in, or become more defensive when interacting with white people","black people could feel angry, frustrated, or scared at the implication that they are a threat to white people",offensive generalization
38,"Niggas are just influenced by their animal instinct, they are incapable to understan others emotions.",Questioning,How do you plan on proving this nonsensical point that black people are incapable of feeling emotion?,2674,4814,black_people,The speaker is trying to express their opinion about niggas,racial,"implies that niggas are not capable of understanding emotions, and that they are based on animal instincts","niggas could feel less welcome in the conversation, less likely to want to interact with the speaker, and more likely to be judged for their race","niggas could feel angry, insulted, and disrespected by the statement",offensive generalization
39,"Im proud to be white, blacks are a disgrace to humanity.",Positive,"I understand that you may feel proud of your heritage, just as i do about mine. Diversity is what makes our world so beautiful and vibrant. It's important to remember that we're all humans, deserving of respect and understanding. Instead of focusing on our differences, let's embrace our similarities and work towards a more inclusive society. By showing empathy and building connections, we can foster a sense of unity and create a better future together.",370,9761,black_people,The speaker is trying to express their opinion about black people,racial,"implies that black people are inferior to white people, and that they are a disgrace to humanity","black people could feel less welcome in the country they are in, might want to avoid those kinds of conversations with white people like the speaker","black people could feel angry, hurt, and offended by the statement",offensive generalization
40,There is too much black on white crime all around the world.,Questioning,What evidence supports this claim and accounts for other factors like socio-economic status and systemic biases in the criminal justice system?,452,12752,black_people,The speaker is trying to make a point about the prevalence of crime between black and white people,racial,"implies that black people are more likely to commit crimes than white people, and that this is a problem that needs to be addressed","black people could want to avoid the speaker, feel less safe in public spaces, or be more cautious when interacting with white people","black people could feel angry, frustrated, or scared at the implication that they are more likely to commit crimes than white people",offensive generalization
41,"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.",Denouncing,"There is no need to hide behind i am not racist but, you have no evidence for your claim. This is just fear-mongering, used to divide people and spread hate.",1181,2499,black_people,The speaker is trying to express their opinion that they would not raise their children in suburbs where the majority of people are black,racial,"implies that black people are not welcome in suburbs, and that they should not be allowed to raise their children there","black people could likely be more feared, and will feel less welcome in the area they are in","black people could feel angry that their presence is seen as a negative thing, afraid that people will believe that stereotype",offensive generalization
42,"Black people are the real racists. They say they want equality, but they actually want to give preference to black people.",Denouncing,"True equality ensures fairness for all, without discrimination.",2677,6516,black_people,The speaker is trying to make a point about racism,racial,"implies that black people are the real racists, and that they do not care about the rights of other groups","black people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against","black people could feel angry, frustrated, and disrespected by the statement",offensive generalization
43,Niggas use their appearance to get away with anything.,Questioning,What is the evidence for what you're saying?,1008,2226,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that black people are manipulative and use their appearance to get away with things, which is a false stereotype.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
44,Blacks are genetically less rational than other races.,Denouncing,"All individuals, regardless of race, possess equal intelligence and rationality. This claim is utterly baseless and perpetuates harmful stereotypes.",2515,6546,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are genetically less rational than other races, and that this is a negative thing","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive generalization
45,Afrocaribbean has no right to speak in the United States Congress.,Denouncing,"All individuals, regardless of their ethnic background, have equal rights to represent and speak in the united states congress, promoting diversity and democratic values.",3245,6412,black_people,The speaker is trying to express their opinion that Afro-Caribbean people should not be allowed to speak in the United States Congress.,racial,"implies that Afro-Caribbean people are not capable of speaking in the United States Congress, and that they should not be allowed to do so.","Afro-Caribbean people could feel less welcome in the country they are in, and more likely to be discriminated against.","Afro-Caribbean people could feel angry, frustrated, and disrespected by this statement.",offensive generalization
46,Those blacks are slaves slavery runs in their blood.,Informative,"On the contrary, poc have to live and succeed in a society where white people were taught to believe that mastery runs in their blood and they have power over subservient minorities.",363,1171,black_people,The speaker is trying to make a point about the history of slavery in the US,racial,"implies that black people are inferior to white people, and that slavery is inherent in their DNA","black people could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","black people could feel angry, frustrated, and disrespected by the statement",offensive generalization
47,"Blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.",Denouncing,You could focus on promoting equality and safety among communities instead of being racist and pointing the finger at black people.,2368,4283,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are inherently violent, criminal, unstable, and bad with children","might feel less welcome in the country they are in, might start questioning their own worth or value as a person","angry, frustrated, hurt, offended",offensive generalization
48,"Black Americans have a corrosive influence in our country. They have always inhabited horrible, stinking filthy places and now they are all complaining because they hate our country.",Questioning,How can we promote equality and respect if we dehumanize an entire race based on their skin color?,3359,8310,black_people,The speaker is trying to express their opinion about Black Americans,racial,"It implies that Black Americans are a negative influence in the country, and that they are all complaining because they hate it.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
49,"Niggas are just influenced by their animal instinct, they are incapable to understan others emotions.",Denouncing,It is completely wrong and discriminatory to generalize an entire race. People of all backgrounds can understand and empathize with others' emotions. We must reject racial stereotypes.,2674,7398,black_people,The speaker is trying to express their opinion about niggas,racial,"implies that niggas are not capable of understanding emotions, and that they are based on animal instincts","niggas could feel less welcome in the conversation, less likely to want to interact with the speaker, and more likely to be judged for their race","niggas could feel angry, insulted, and disrespected by the statement",offensive generalization
50,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,Denouncing,"Affirmative action is a necessary policy aimed at addressing historical disadvantages faced by marginalized communities. It promotes equality and diversity, not oppression. It aims to create equal opportunities by leveling the playing field, ensuring that everyone, regardless of their race, has equal access to education and employment.",415,12571,black_people,The speaker is trying to express their opinion that affirmative action is a tool for oppressing white people,racial,"It implies that affirmative action is a tool for oppressing white people, and that it should not be used.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
51,The nigga were always complaining that the white race and culture were superior. They were right.,Questioning,Do you truly believe that one race or culture is inherently superior to others? can you provide any evidence to support this claim?,2762,7553,black_people,The speaker is trying to make a point about the superiority of white race and culture,racial,"implies that black people are always complaining about the superiority of white race and culture, and that this is true","black people could feel less welcome in the conversation, less likely to want to engage with the speaker, and more likely to internalize negative stereotypes about themselves","black people could feel angry, frustrated, and disrespected by the statement",offensive generalization
52,Black people are happy to thrive by being unemployed and living on social welfare.,Questioning,Isn't it unfair to generalize and underestimate the abilities and strength of an entire gender based on stereotypes and historical conflicts?,3062,8343,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are lazy, irresponsible, and rely on social welfare for survival","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive generalization
53,Afrocaribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,Questioning,So you think that they are to blame for the racial intolerance that has been seen in many european countries?,2356,4251,black_people,The speaker is trying to express their opinion about Afro-Caribbean people,racial,"implies that Afro-Caribbean people are not welcome in European societies, and that they are a burden on society","might feel less welcome in European societies, might start questioning whether they belong there or not","angry, frustrated, hurt, offended",offensive generalization
54,Africans should not participate in the Olympic Games,Informative,"Indeed, non-discrimination is one of the founding pillars of the olympic movement, which states that every individual must have the possibility of practising sport, without discrimination of any kind and in the olympic spirit",3465,6079,black_people,The speaker is trying to express their opinion that Africans should not participate in the Olympic Games,racial,"implies that Africans are not capable of competing in the Olympics, and that they should not be given the same opportunities as other athletes","Africans could feel less confident in their abilities, less likely to participate in sports, and more likely to be discriminated against","Africans could feel angry, frustrated, and disrespected by the statement",offensive generalization
55,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them.",Informative,"If this is what you are talking about, then equality is a myth, because if you have equality without people different from you, then there will be no equality at all.",1007,2224,black_people,The speaker is trying to express their opinion on the issue of equality for black people,racial,"It implies that black people are not capable of achieving equality without them, and that they should not be given the same rights as other groups.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
56,All Blacks are scum of the earth. They are a plague on our society.,Denouncing,"This offensive statement promotes racism and discrimination. Respect and equality should be upheld for all individuals, regardless of their race.",2761,7991,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that all Black people are bad, and that they are a plague on society","might feel less welcome in the country they are in, might start questioning whether they belong in the country or not","angry, hurt, frustrated, scared",hate speech
57,Afroamericans are naturally violent.,Positive,"I understand that people may have different opinions, but i want to emphasize that stereotypes like this can be hurtful and misleading. It's important to remember that violence is not inherent to any racial or ethnic group. Let's try to focus on promoting unity and understanding among all people. We can achieve so much more when we embrace diversity and reject harmful generalizations. Let's build a world where everyone feels respected and valued.",416,7973,black_people,The speaker is trying to express their opinion about Afro-Americans,racial,"implies that all Afro-Americans are violent, which is a false stereotype","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
58,A nigger has no right to life,Questioning,"Do you believe in equality and treating all humans with respect, regardless of their ethnicity or background?",1011,7914,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that black people are inferior, and have no right to life","black people could want to avoid the speaker, feel less safe in public spaces, or feel like they need to prove themselves more than other people do","black people could feel angry, hurt, and scared by the statement",hate speech
59,"Black minorities vote to strip wealth, power and opportunity from White people.",Denouncing,It is important to promote equality and reject racial stereotypes. Voting rights should not be used to perpetuate hate or division amongst racial groups.,1602,6498,black_people,The speaker is trying to make a point about the power dynamics between Black people and white people,racial,"implies that Black people are trying to take away wealth, power and opportunity from White people, which is a false stereotype","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry at the false implication, frustrated that the speaker thinks it's okay to say that",offensive
60,Black folks all act bad,Informative,"When confronted with direct facts, they have no problem admitting if they are acting badly. But they aren't systematically oppressing others.",3455,6039,black_people,The speaker is trying to make a generalization about black people,racial,"implies that all black people are bad, and that they are not capable of being good people","black folks could want to avoid the speaker, feel less welcome in the conversation, or feel like they need to prove themselves more than other people do","black folks could feel angry, frustrated, and insulted by the statement",offensive generalization
